,Rk,G,Date,Unnamed: 3,Opp,W/L,Tm,Opp.1,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Unnamed: 18,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 23,eFG%.1,TOV%.1,DRB%,FT/FGA.1
126,35,35,2015-01-10,@,TOR,L,96,109,98.9,112.3,97.1,.241,.217,.523,47.3,59.0,7.2,4.9,,.506,16.4,21.4,.145,,.522,11.6,69.4,.154
127,36,36,2015-01-12,,NOP,W,108,100,119.0,110.2,90.8,.352,.273,.531,49.4,64.9,8.8,8.3,,.466,9.8,37.0,.295,,.453,16.5,62.8,.427
128,37,37,2015-01-14,,ATL,L,91,105,102.8,118.7,88.5,.169,.398,.510,53.3,64.7,5.7,4.5,,.476,15.2,31.0,.145,,.562,12.4,81.8,.315
129,38,38,2015-01-16,,CHI,L,103,119,112.0,129.4,91.9,.188,.188,.560,55.6,69.0,5.4,6.3,,.524,12.4,28.2,.165,,.612,6.9,81.0,.112
130,39,39,2015-01-19,@,LAC,L,93,102,103.0,113.0,90.3,.250,.345,.499,49.4,72.7,6.6,3.3,,.464,12.2,26.1,.179,,.530,10.9,75.6,.183
131,40,40,2015-01-22,@,POR,W,90,89,97.5,96.4,92.3,.080,.218,.500,51.1,59.0,8.7,8.2,,.489,15.1,23.8,.057,,.421,9.3,74.0,.157
132,,,,,,,,,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,Offensive Four Factors,,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors,Defensive Four Factors
133,Rk,G,Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
134,41,41,2015-01-23,@,DEN,W,100,99,108.7,107.6,92.0,.360,.280,.576,46.1,54.1,8.7,8.8,,.553,13.9,20.5,.227,,.449,10.7,66.0,.213
135,42,42,2015-01-25,@,GSW,L,111,114,107.4,110.3,103.4,.284,.295,.519,50.5,56.1,4.8,4.5,,.484,11.6,25.5,.200,,.517,11.5,79.5,.247
136,43,43,2015-01-26,@,UTA,W,99,90,108.4,98.5,91.3,.311,.257,.588,48.7,51.4,8.8,5.2,,.527,14.3,14.7,.284,,.482,13.4,76.2,.134
137,44,44,2015-01-28,@,MIN,L,98,110,102.3,114.8,95.8,.099,.253,.516,46.4,52.4,9.4,6.6,,.500,12.0,18.8,.077,,.532,10.8,83.3,.364
